place,congress,executive_council,state_senate,state_house,county
Plainfield,2,1,5,"1, 9",Sullivan
Plaistow,1,3,22,"14, 34",Rockingham
Plymouth,2,1,2,8,Grafton
Portsmouth Ward 1,1,3,21,"25, 30",Rockingham
Portsmouth Ward 2,1,3,21,"26, 30",Rockingham
Portsmouth Ward 3,1,3,21,"27, 31",Rockingham
Portsmouth Ward 4,1,3,21,"28, 30",Rockingham
Portsmouth Ward 5,1,3,21,"29, 30",Rockingham
Randolph,2,1,1,"5, 7",Coos
Raymond,1,3,17,3,Rockingham
Richmond,2,5,9,"12, 15",Cheshire
Rindge,2,5,12,"11, 14",Cheshire
Rochester Ward 1,1,2,6,"7, 22",Strafford
Rochester Ward 2,1,2,6,"9, 23",Strafford
Rochester Ward 3,1,2,6,10. 23,Strafford
Rochester Ward 4,1,2,6,"11, 24",Strafford
Rochester Ward 5,1,2,6,"12, 24",Strafford
Rochester Ward 6,1,2,6,"8, 22",Strafford
Rollinsford,1,2,4,"18, 21",Strafford
Roxbury,2,2,10,"9, 14",Cheshire
Rumney,2,1,2,"6, 16",Grafton
Rye,1,3,24,24,Rockingham
Salem,2,3,22,8,Rockingham
Salisbury,2,2,7,"1, 25",Merrimack
Sanbornton,1,1,2,4,Belknap
Sandown,1,3,23,4,Rockingham
Sandwich,1,1,3,"4, 8",Carroll
Seabrook,1,3,24,"20, 37",Rockingham
Sharon,2,5,9,25,Hillsborough
Shelburne,2,1,1,6,Coos
Somersworth Ward 1,1,2,4,"18, 21",Strafford
Somersworth Ward 2,1,2,4,"17, 21",Strafford
Somersworth Ward 3,1,2,4,"18, 21",Strafford
Somersworth Ward 4,1,2,4,"18, 21",Strafford
Somersworth Ward 5,1,2,4,"18, 21",Strafford
South Hampton,1,3,24,"16, 35",Rockingham
Springfield,2,1,8,"1, 9",Sullivan
Stark,2,1,1,"2, 7",Coos
Stewartstown,2,1,1,1,Coos
Stoddard,2,2,8,3,Cheshire
Strafford,1,2,17,3,Strafford
Stratford,2,1,1,1,Coos
Stratham,1,3,24,"19, 36",Rockingham
Sugar Hill,2,1,1,"2, 14",Grafton
Sullivan,2,2,10,3,Cheshire
Sunapee,2,1,8,"2, 9",Sullivan
Surry,2,2,10,2,Cheshire
Sutton,2,2,8,4,Merrimack
Swanzey,2,5,10,"12, 15",Cheshire
Tamworth,1,1,3,"3, 7",Carroll
Temple,2,5,9,25,Hillsborough
Thornton,2,1,1,"6, 16",Grafton
Tilton,1,1,2,4,Belknap
Troy,2,5,9,"10, 15",Cheshire
Tuftonboro,1,1,3,"4, 8",Carroll
Unity,2,2,8,"6, 9",Sullivan
Wakefield,1,1,3,"5, 8",Carroll
Walpole,2,2,10,1,Cheshire
Warner,2,2,15,"7, 25",Merrimack
Warren,2,1,2,"3, 15",Grafton
Washington,2,2,8,"7, 11",Sullivan
Waterville Valley,2,1,3,5,Grafton
Weare,2,5,8,"2, 39",Hillsborough
Webster,2,2,7,"7, 25",Merrimack
Wentworth,2,1,2,"11, 16",Grafton
Westmoreland,2,2,10,1,Cheshire
Whitefield,2,1,1,"5, 7",Coos
Wilmot,2,1,2,4,Merrimack
Wilton,2,5,11,"4, 38",Hillsborough
Winchester,2,2,10,"13, 15",Cheshire
Windham,2,3,19,7,Rockingham
Windsor,2,5,8,"1, 38",Hillsborough
Wolfeboro,1,1,3,6,Carroll
Woodstock,2,1,1,5,Grafton
Atkinson & Gilmanton Academy Grant,2,1,1,1,Coos
Bean's Grant,2,1,1,6,Coos
Bean's Purchase,2,1,1,6,Coos
Cambridge,2,1,1,1,Coos
Chandler's Pur.,2,1,1,6,Coos
Crawford's Pur.,2,1,1,6,Coos
Cutt's Grant,2,1,1,6,Coos
Dix's Grant,2,1,1,1,Coos
Erving's Location,2,1,1,1,Coos
Green's Grant,2,1,1,6,Coos
Hadley's Pur.,2,1,1,6,Coos
Hale's Location,1,1,3,"2, 7",Carroll
Kilkenny,2,1,1,"4, 7",Coos
Livermore,2,1,1,5,Grafton
Low & Burbank's Grant,2,1,1,6,Coos
Martin's Location,2,1,1,6,Coos
Odell,2,1,1,1,Coos
Pinkham's Grant,2,1,1,6,Coos
Sargent's Purchase,2,1,1,6,Coos
Second College Gt,2,1,1,1,Coos
Success,2,1,1,6,Coos
Thompson & Mes's Purchase,2,1,1,6,Coos
Wentworth's Loc.,2,1,1,1,Coos
,,,,,
