date,office,district,race_type,party,special,path,data_url
2000-11-07,house_of_delegates,,general,,,2000%20House%20of%20Delegates%20Gen.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20001107__wv__general__house_of_delegates.csv
2000-05-09,president,,primary,,,2000%20US%20President%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20000509__wv__primary__president.csv
2000-05-09,senate,,primary,,,2000%20US%20Senate%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20000509__wv__primary__senate.csv
2000-05-09,house,,primary,,,2000%20House%20of%20Rep%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20000509__wv__primary__house.csv
2000-05-09,governor,,primary,,,2000%20Governor%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20000509__wv__primary__governor.csv
2000-05-09,secretary_of_state,,primary,,,2000%20SoS%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20000509__wv__primary__secretary_of_state.csv
2000-05-09,auditor,,primary,,,2000%20Auditor%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20000509__wv__primary__auditor.csv
2000-05-09,state_treasurer,,primary,,,2000%20Treasurer%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20000509__wv__primary__state_treasurer.csv
2000-05-09,commissioner_of_agriculture,,primary,,,2000%20Com%20of%20Ag%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20000509__wv__primary__commissioner_of_agriculture.csv
2000-05-09,attorney_general,,primary,,,2000%20Attorney%20General%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20000509__wv__primary__attorney_general.csv
2000-05-09,state_senate,,primary,,,2000%20State%20Senate%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20000509__wv__primary__state_senate.csv
2000-05-09,house_of_delegates,,primary,,,2000%20House%20of%20Delegates%20Pri.pdf,https://raw.githubusercontent.com/openelections/openelections-data-wv/master/20000509__wv__primary__house_of_delegates.csv
