date,race_type,level,party,special,office,district,url,path
12/4/12,general,precinct,,TRUE,State Senate,33,http://www.gab.wi.gov/sites/default/files/ward%20results%20report_12.4.12%20sen%2033%20special%20election.xls,20121204__wi__special__general__state_senate__33__precinct.xlsx
11/6/12,general,county,,,,,http://www.gab.wi.gov/sites/default/files/County%20by%20County_11.6.12.xls,20121106__wi__general.xlsx
11/6/12,general,precinct,,,,,http://www.gab.wi.gov/sites/default/files/Ward%20by%20Ward%20Report_1.xlsx,20121106__wi__general__precinct.xlsx
11/6/12,primary,precinct,,TRUE,State Senate,33,http://www.gab.wi.gov/sites/default/files/Ward%20Results-11.6.12-Sen%2033%20Spec%20Pri.xls,20121106__wi__special__primary__state_senate__33__precinct.xlsx
8/14/12,primary,county,,,,,http://www.gab.wi.gov/sites/default/files/County%20x%20County%20Results_8.14.12%20primary_all%20offices.xls,20120814__wi__primary.xlsx
8/14/12,primary,precinct,,,State House,,http://www.gab.wi.gov/sites/default/files/Ward%20x%20Ward%20Results_8.14.12%20primary_Assembly.xls,20120814__wi__primary__state_house__precinct.xlsx
8/14/12,primary,precinct,,,State Senate,,http://www.gab.wi.gov/sites/default/files/Ward%20x%20Ward%20Results_8.14.12%20primary_State%20Senate.xls,20120814__wi__primary__state_senate__precinct.xlsx
8/14/12,primary,precinct,,,U.S. House,,http://www.gab.wi.gov/sites/default/files/Ward%20x%20Ward%20Results_8.14.12%20primary_U.S.%20Congress.xls,20120814__wi__primary__house__precinct.xlsx
8/14/12,primary,precinct,,,U.S. Senate,,http://www.gab.wi.gov/sites/default/files/Ward%20x%20Ward%20Results_8.14.12%20primary_U.S.%20Senate.xls,20120814__wi__primary__senate__precinct.xlsx
6/5/12,general_recall,county,,,,,http://www.gab.wi.gov/sites/default/files/County%20Results_6.5.12%20Recall%20Election_all%20offices_post%20sen21%20recount.xls,20120605__wi__general__recall.xlsx
6/5/12,general_recall,precinct,,,,,http://www.gab.wi.gov/sites/default/files/Ward%20Results_6.5.12%20Recall%20Election_all%20offices_post%20sen%2021%20recount.xls,20120605__wi__general__recall__precinct.xlsx
5/8/12,primary_recall,precinct,,,,,http://www.gab.wi.gov/sites/default/files/Recall%20Primary%20Ward%20by%20Ward%20Report%20%285.18.12%29.xls,20120508__wi__primary__recall__precinct.xlsx
4/3/12,primary,precinct,,,President,,http://www.gab.wi.gov/sites/default/files/Results%20by%20Ward_Spring%20Election%20and%20Pres%20Pref%20vote_4.3.12.xls,20120403__wi__primary__president__precinct.xlsx
11/16/11,general,precinct,,TRUE,State House,95,http://www.gab.wi.gov/sites/default/files/Ward%20Results.xls,20111116__wi__special__general__state_house__95__precinct.xls
10/11/11,primary,precinct,,TRUE,State House,95,http://www.gab.wi.gov/sites/default/files/Ward%20results.95th%20Assm%20Special%20Primary.xls,20111011__wi__special__primary__state_house__95__precinct.xls
8/9/11,general_recall,precinct,,,State Senate,2,http://www.gab.wi.gov/sites/default/files/Ward%20Results_Recall%20Election_Senate%202.xls,20110809__wi__general__recall__state_senate__2__precinct.xls
8/9/11,general_recall,precinct,,,State Senate,8,http://www.gab.wi.gov/sites/default/files/Ward%20Results_Recall%20Election_Senate%208.xls,20110809__wi__general__recall__state_senate__8__precinct.xls
8/9/11,general_recall,precinct,,,State Senate,10,http://www.gab.wi.gov/sites/default/files/Ward%20Results_Recall%20Election_Senate%2010.xls,20110809__wi__general__recall__state_senate__10__precinct.xls
8/9/11,general_recall,precinct,,,State Senate,14,http://www.gab.wi.gov/sites/default/files/Ward%20Results_Recall%20Election_Senate%2014.xls,20110809__wi__general__recall__state_senate__14__precinct.xls
8/9/11,general_recall,precinct,,,State Senate,18,http://www.gab.wi.gov/sites/default/files/Ward%20Results_Recall%20Election_Senate%2018.xls,20110809__wi__general__recall__state_senate__18__precinct.xls
8/9/11,general_recall,precinct,,,State Senate,32,http://www.gab.wi.gov/sites/default/files/Ward%20Results_Recall%20Election_Senate%2032.xls,20110809__wi__general__recall__state_senate__32__precinct.xls
