date,office,district,race_type,party,special,url,reporting_level,jurisdiction,has_statewide_contests,needs_preprocessing,needs_review,skip,raw_extracted_filename,parent_zipfile,filename,notes
2007-11-06,,,general,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Ferry Gen07 Precinct with RV, cast.xls",precinct,Ferry,,,,TRUE,,,"Ferry Gen07 Precinct with RV, cast.xls",Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Franklin Gen07 Leg Dist subtotals.xls,precinct,Franklin,,,,TRUE,,,Franklin Gen07 Leg Dist subtotals.xls,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Franklin Gen07 Precinct with RV, cast.xls",precinct,Franklin,,,,TRUE,,,"Franklin Gen07 Precinct with RV, cast.xls",Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Garfield Gen07 Precinct with cast.xls,precinct,Garfield,,,,TRUE,,,Garfield Gen07 Precinct with cast.xls,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Grant Gen07 Precinct with RV, cast.xls",precinct,Grant,,,,TRUE,,,"Grant Gen07 Precinct with RV, cast.xls",Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Grays Harbor Gen07 Precinct.xls,precinct,Grays Harbor,TRUE,,,FALSE,,,Grays Harbor Gen07 Precinct.xls,
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Island Gen07 prec with Voter Reg update.xls,precinct,Island,,,,TRUE,,,Island Gen07 prec with Voter Reg update.xls,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Jefferson Gen07 Precinct with RV, cast.xls",precinct,Jefferson,,,,TRUE,,,"Jefferson Gen07 Precinct with RV, cast.xls",Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/King Gen07 Precinct Results.xls,precinct,King,,,,TRUE,,,King Gen07 Precinct Results.xls,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Kitsap Gen07 Precinct with RV, cast.xls",precinct,Kitsap,,,,TRUE,,,"Kitsap Gen07 Precinct with RV, cast.xls",Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Kittitas Gen07 precinct, cast.xls",precinct,Kittitas,,,,TRUE,,,"Kittitas Gen07 precinct, cast.xls",Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Klickitat Gen07 Precinct with RV, cast.pdf",precinct,Klickitat,,,,TRUE,,,"Klickitat Gen07 Precinct with RV, cast.pdf",Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Lewis Gen07 Precinct.xls,precinct,Lewis,,,,TRUE,,,Lewis Gen07 Precinct.xls,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Lincoln Gen07 precinct.xls,precinct,Lincoln,,,,TRUE,,,Lincoln Gen07 precinct.xls,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Mason Gen07 Manual Recount Southside SD.pdf,precinct,Mason,,,,TRUE,,,Mason Gen07 Manual Recount Southside SD.pdf,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Mason Gen07 precinct.xls,precinct,Mason,,,,TRUE,,,Mason Gen07 precinct.xls,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Okanogan Gen07 Precinct needs Reg nos.xls,precinct,Okanogan,,,,TRUE,,,Okanogan Gen07 Precinct needs Reg nos.xls,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Okanogan precinct RV Leg 12.pdf,precinct,Okanogan,,,,TRUE,,,Okanogan precinct RV Leg 12.pdf,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Okanogan precinct RV Leg 7.pdf,precinct,Okanogan,,,,TRUE,,,Okanogan precinct RV Leg 7.pdf,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Pacific Gen07 precinct.xls,precinct,Pacific,TRUE,,,FALSE,,,Pacific Gen07 precinct.xls,"This has columns for absentee votes, but they are all 0.  It appears that the file Pacific Gen07 Reg Voters.pdf has correct absentee votes."
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Pacific Gen07 Reg Voters.pdf,precinct,Pacific,TRUE,,,FALSE,,,Pacific Gen07 Reg Voters.pdf,
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Pend Oreille Gen07 Precinct with cast (incomplete RV).xls,precinct,Pend Oreille,,,,TRUE,,,Pend Oreille Gen07 Precinct with cast (incomplete RV).xls,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Pierce Gen07 Precinct with RV, cast.pdf",precinct,Pierce,,,,TRUE,,,"Pierce Gen07 Precinct with RV, cast.pdf",Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Pierce Recount Results-Puyallup.pdf,precinct,Pierce,,,,TRUE,,,Pierce Recount Results-Puyallup.pdf,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Pierce Recount Results-UP.pdf,precinct,Pierce,,,,TRUE,,,Pierce Recount Results-UP.pdf,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/San Juan Gen07 Precinct with RV, cast.xls",precinct,San Juan,,,,TRUE,,,"San Juan Gen07 Precinct with RV, cast.xls",Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Skagit Gen07 Precinct.xls,precinct,Skagit,,,,TRUE,,,Skagit Gen07 Precinct.xls,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Skamania Gen07 Precinct.xls,precinct,Skamania,,,,TRUE,,,Skamania Gen07 Precinct.xls,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Snohomish Gen07 cross valley recount.xls,precinct,Snohomish,,,,TRUE,,,Snohomish Gen07 cross valley recount.xls,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Snohomish Gen07 Precinct with RV, cast.pdf",precinct,Snohomish,,,,TRUE,,,"Snohomish Gen07 Precinct with RV, cast.pdf",Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Spokane Gen07 Precinct with RV, cast.xls",precinct,Spokane,,,,TRUE,,,"Spokane Gen07 Precinct with RV, cast.xls",Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Stevens Gen07 precinct.xls,precinct,Stevens,,,,TRUE,,,Stevens Gen07 precinct.xls,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Thurston Gen07 Precinct with RV, cast.xls",precinct,Thurston,,,,TRUE,,,"Thurston Gen07 Precinct with RV, cast.xls",Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Wahkiakum Gen07 Precinct.xls,precinct,Wahkiakum,TRUE,,,FALSE,,,Wahkiakum Gen07 Precinct.xls,
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Walla Walla Gen07 Precinct with cast.pdf,precinct,Walla Walla,,,,TRUE,,,Walla Walla Gen07 Precinct with cast.pdf,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Whatcom Gen07 Precinct with RV, cast.xls",precinct,Whatcom,,,,TRUE,,,"Whatcom Gen07 Precinct with RV, cast.xls",Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Whitman Gen07 Precinct with cast (no RV).xls,precinct,Whitman,,,,TRUE,,,Whitman Gen07 Precinct with cast (no RV).xls,Skip because this county has no contests of interest for OpenElections.
2007-11-06,,,general,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2007/General/Data/Documents/Precinct%20Results/Yakima Gen07 Precinct.xls,precinct,Yakima,TRUE,,,FALSE,,,Yakima Gen07 Precinct.xls,
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/documents/pp08%20legcong%20work%20file.xls,congressional_district_state_legislative,,TRUE,,,FALSE,,,,Contains results aggregated by both U.S. Congressional district and state legislative districts.
2008-02-19,president,,primary,democrat,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Adams PP08 prec Dem.xls,precinct,Adams,,,,,,,Adams PP08 prec Dem.xls,
2008-02-19,president,,primary,republican,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Adams PP08 prec Rep.xls,precinct,Adams,,,,,,,Adams PP08 prec Rep.xls,
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Asotin PP08 prec with RV, cast.xls",precinct,Asotin,,,,,,,"Asotin PP08 prec with RV, cast.xls",
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Benton PP08 prec - RV incomplete.xls,precinct,Benton,,,,TRUE,,,Benton PP08 prec - RV incomplete.xls,
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Benton PP08 prec canvass with RV.xls,precinct,Benton,,,,,,,Benton PP08 prec canvass with RV.xls,
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Chelan PP08 prec with RV, cast.xls",precinct,Chelan,,,,,,,"Chelan PP08 prec with RV, cast.xls",
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Clallam PP08 canvass with RV.pdf,precinct,Clallam,,TRUE,,,,,Clallam PP08 canvass with RV.pdf,
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Clallam PP08 prec - RV incomplete.xls,precinct,Clallam,,,,TRUE,,,Clallam PP08 prec - RV incomplete.xls,
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Clark PP08 Prec - RV incomplete.xls,precinct,Clark,,,,,,,Clark PP08 Prec - RV incomplete.xls,
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Columbia PP08 prec with RV, cast",precinct,Columbia,,,,,,,"Columbia PP08 prec with RV, cast",
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Cowlitz PP08 prec with RV, cast",precinct,Cowlitz,,,,,,,"Cowlitz PP08 prec with RV, cast",
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Douglas PP08 prec with RV, cast.xls",precinct,Douglas,,,,,,,"Douglas PP08 prec with RV, cast.xls",
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Ferry prec with RV, cast.xls",precinct,Ferry,,,,,,,"Ferry prec with RV, cast.xls",
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Franklin prec with RV, cast.xls",precinct,Franklin,,,,,,,"Franklin prec with RV, cast.xls",
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Garfield prec with RV, cast.xls",precinct,Garfield,,,,,,,"Garfield prec with RV, cast.xls",
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Grant prec with RV, cast",precinct,Grant,,,,,,,"Grant prec with RV, cast",
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Grays Harbor prec with RV, cast",precinct,Grays Harbor,,,,,,,"Grays Harbor prec with RV, cast",
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Island prec with RV, cast.xls",precinct,Island,,,,,,,"Island prec with RV, cast.xls",
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Jefferson prec with RV, cast",precinct,Jefferson,,,,,,,"Jefferson prec with RV, cast",
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/King prec with RV, cast (access db).zip",precinct,King,,TRUE,,,"King prec with RV, cast.mdb",,"King prec with RV, cast (access db).zip",
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Kitsap prec with RV, cast.xls",precinct,Kitsap,,,,,,,"Kitsap prec with RV, cast.xls",
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Kittitas prec - RV incomplete.xls,precinct,Kittitas,,,,,,,Kittitas prec - RV incomplete.xls,
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Klickitat prec with RV, cast.pdf",precinct,Klickitat,,TRUE,TRUE,,,,"Klickitat prec with RV, cast.pdf",
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Klickitat RV, cast.pdf",precinct,Klickitat,,TRUE,TRUE,,,,"Klickitat RV, cast.pdf",
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Lewis prec - RV incomplete.xls,precinct,Lewis,,,,,,,Lewis prec - RV incomplete.xls,
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Lincoln prec - RV incomplete.xls,precinct,Lincoln,,,TRUE,,,,Lincoln prec - RV incomplete.xls,"Need to see if the Excel file, PDF file or both need to be used."
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Lincoln RV, canvass.pdf",precinct,Lincoln,,TRUE,TRUE,,,,"Lincoln RV, canvass.pdf","Need to see if the Excel file, PDF file or both need to be used."
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Mason prec - RV incomplete.xls,precinct,Mason,,,,,,,Mason prec - RV incomplete.xls,
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Okanogan prec - RV incomplete.xls,precinct,Okanogan,,,,,,,Okanogan prec - RV incomplete.xls,
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Pacific prec - RV incomplete.xls,precinct,Pacific,,,,,,,Pacific prec - RV incomplete.xls,"Need to see if the Excel file, PDF file or both need to be used."
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Pacific RV, canvass.pdf",precinct,Pacific,,TRUE,TRUE,,,,"Pacific RV, canvass.pdf","Need to see if the Excel file, PDF file or both need to be used."
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Pend Oreille prec with cast (no RV),precinct,Pend Oreille,,,,,,,Pend Oreille prec with cast (no RV),
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Pierce prec with RV, cast.pdf",precinct,Pierce,,TRUE,,,,,"Pierce prec with RV, cast.pdf",
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/San Juan prec - RV incomplete.xls,precinct,San Juan,,,TRUE,,,,San Juan prec - RV incomplete.xls,"Need to see if the Excel file, PDF file or both need to be used."
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/San Juan prec with RV, cast.pdf",precinct,San Juan,,TRUE,TRUE,,,,"San Juan prec with RV, cast.pdf","Need to see if the Excel file, PDF file or both need to be used."
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Skagit prec - RV incomplete.xls,precinct,Skagit,,,,,,,Skagit prec - RV incomplete.xls,
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Skamania prec - RV incomplete.xls,precinct,Skamania,,,,,,,Skamania prec - RV incomplete.xls,
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Snohomish prec with RV, cast.pdf",precinct,Snohomish,,TRUE,,,,,"Snohomish prec with RV, cast.pdf",
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Spokane prec with RV, cast",precinct,Spokane,,,,,,,"Spokane prec with RV, cast",
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Stevens prec with RV, cast.xls",precinct,Stevens,,,,,,,"Stevens prec with RV, cast.xls",
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Thurston prec with RV, cast",precinct,Thurston,,,,,,,"Thurston prec with RV, cast",
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Wahkiakum prec - no RV or cast.xls,precinct,Wahkiakum,,,TRUE,,,,Wahkiakum prec - no RV or cast.xls,Need to see which Excel for this precinct should be used.
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Wahkiakum RV, cast.xls",precinct,Wahkiakum,,,TRUE,,,,"Wahkiakum RV, cast.xls",Need to see which Excel for this precinct should be used.
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Walla Walla PP08 prec with cast.pdf,precinct,Walla Walla,,TRUE,,,,,Walla Walla PP08 prec with cast.pdf,
2008-02-19,president,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Whatcom prec with RV, cast.xls",precinct,Whatcom,,,,,,,"Whatcom prec with RV, cast.xls",
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Whitman prec with cast (no RV),precinct,Whitman,,,,,,,Whitman prec with cast (no RV),
2008-02-19,president,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PP/2008PPPrecinctData/Documents/Yakima prec - RV incomplete.xls,precinct,Yakima,,,,,,,Yakima prec - RV incomplete.xls,
2008-08-19,,,primary,,,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PrimaryPrecinctData/Documents/Adams prec results.xls,precinct,Adams,,,,,,,Adams prec results.xls,
2008-08-19,,,primary,,,"https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2008/2008PrimaryPrecinctData/Documents/Asotin prec results with RV, cast.xls",precinct,Asotin,,,,,,,"Asotin prec results with RV, cast.xls",
