date,race_type,county,office,district,party,special,url,path
2006-02-07,general,,State House,,,TRUE,,20060207__mo__special__general__state_house.csv
2005-11-08,general,,,,,TRUE,,20051108__mo__special__general.csv
2005-04-05,general,,,,,TRUE,,20050405__mo__special__general.csv
2004-11-02,general,,,,,,http://s1.sos.mo.gov/CMSImages/ElectionResultsStatistics/CountyGeneral2004.pdf,20041102__mo__general.csv
2004-08-03,general,,,,,,http://s1.sos.mo.gov/CMSImages/ElectionResultsStatistics/CountyPrimary2004.pdf,20040803__mo__primary.csv
2004-02-03,primary,,President,,,,http://s1.sos.mo.gov/CMSImages/ElectionResultsStatistics/CountyPresidential2004.pdf,20040203__mo__primary__president.csv
2004-02-03,general,,State House,101,,TRUE,http://s1.sos.mo.gov/CMSImages/ElectionResultsStatistics/AllRacesSpecialFebruary2004LD101.pdf,20040203__mo__special__general__state_house.csv
2003-11-04,general,,,,,TRUE,,20031104__mo__special__general.csv
2002-11-05,general,,,,,,http://s1.sos.mo.gov/CMSImages/ElectionResultsStatistics/CountyGeneral2002.pdf,20021105__mo__general.csv
2002-08-06,primary,,,,,,http://s1.sos.mo.gov/CMSImages/ElectionResultsStatistics/CountyPrimary2002.pdf,20020806__mo__primary.csv
2002-03-26,general,,State House,,,TRUE,,20020326__mo__special__general__state_house.csv
2002-03-05,general,,State House,66,,TRUE,http://s1.sos.mo.gov/CMSImages/ElectionResultsStatistics/AllRacesSpecialMarch2002LD66.pdf,20020305__mo__special__general__state_house.csv
2002-02-05,general,,State Senate,5,,TRUE,http://s1.sos.mo.gov/CMSImages/ElectionResultsStatistics/AllRacesSpecialFebruary2002SD5.pdf,20020205__mo__special__general__state_senate.csv
2001-12-11,general,,State Senate,3,,TRUE,http://s1.sos.mo.gov/CMSImages/ElectionResultsStatistics/AllRacesSpecialDecember2001SD3.pdf,20011211__mo__special__general__state_senate.csv
2001-11-06,general,,State House,8,,TRUE,http://s1.sos.mo.gov/CMSImages/ElectionResultsStatistics/AllRacesSpecialNovember2001LD8.pdf,20011106__mo__special__general__state_house.csv
2001-08-07,general,,,,,TRUE,,20010807__mo__special__general__state_house.csv
2001-02-27,general,,State House,43,,TRUE,http://s1.sos.mo.gov/CMSImages/ElectionResultsStatistics/AllRacesSpecialFebruary2001LD43.pdf,20010227__mo__special__general__state_house.csv
2001-01-24,general,,State Senate,,,TRUE,,20010124__mo__special__general__state_senate.csv
2000-11-07,general,,,,,,http://s1.sos.mo.gov/CMSImages/ElectionResultsStatistics/CountyGeneral2000.pdf,20001107__mo__general.csv
2000-08-08,primary,,,,,,http://s1.sos.mo.gov/CMSImages/ElectionResultsStatistics/CountyPrimary2000.pdf,20000808__mo__primary.csv
2000-04-04,general,,State House,,,TRUE,http://s1.sos.mo.gov/CMSImages/ElectionResultsStatistics/AllRacesSpecialApril2000.pdf,20000404__mo__special__general__state_house.csv
2000-03-07,primary,,President,,,,http://s1.sos.mo.gov/CMSImages/ElectionResultsStatistics/CountyPresidential2000.pdf,20000307__mo__primary__president.csv
