county,ocd_id,fips
Shelby,ocd-division/country:us/state:mo/county:shelby,
Stoddard,ocd-division/country:us/state:mo/county:stoddard,
Stone,ocd-division/country:us/state:mo/county:stone,
Sullivan,ocd-division/country:us/state:mo/county:sullivan,
Taney,ocd-division/country:us/state:mo/county:taney,
Texas,ocd-division/country:us/state:mo/county:texas,
Vernon,ocd-division/country:us/state:mo/county:vernon,
Warren,ocd-division/country:us/state:mo/county:warren,
Washington,ocd-division/country:us/state:mo/county:washington,
Wayne,ocd-division/country:us/state:mo/county:wayne,
Webster,ocd-division/country:us/state:mo/county:webster,
Worth,ocd-division/country:us/state:mo/county:worth,
Wright,ocd-division/country:us/state:mo/county:wright,
